timestamp,gpu_id,gpu_type,sample_idx,gpu_utilization,memory_utilization,sm_occupancy,active_sms,gpu_clock_mhz,memory_clock_mhz,gpu_temp_c,memory_temp_c,hotspot_temp_c,power_draw_w,power_rail_12v,power_rail_3v3,power_rail_gpu_core,power_efficiency,memory_bw_utilization,memory_bw_achieved_gbps,ecc_sbe_count,ecc_dbe_count,retired_pages_sbe,retired_pages_dbe,nvlink_bw_gbps,nvlink_replay_errors,nvlink_recovery_errors,nvlink_crc_errors,pcie_bw_gbps,pcie_replay_count,pcie_link_width,pcie_link_gen,kernel_exec_avg_ms,kernel_exec_p99_ms,kernel_exec_max_ms,cuda_assert_count,cuda_sync_errors,cuda_oom_events,tensor_core_util,fp16_checksum,fp32_checksum,fan_speed_rpm,xid_error_count,last_xid_code,warp_efficiency,gradient_norm,gradient_nan_count,gradient_inf_count,training_loss
2024-12-22 06:00:00,GPU-CFCD2084,A100_PCIe,0,61.23966871515078,78.35185841006088,52.12883185116339,104,1272.1919,1593.1226,57.428864,62.441795,70.5024,228.81813,12.00012,3.3007138,0.8420143,0.93840134,49.16575,951.35724,0,0,0,0,0.0,0,0,0,39.218502,0,16,4,22.221388,33.408226,66.849464,0,0,0,42.8234,1.0000008,1.0,2371,0,0,94.88739,0.13055855,0,0,1.9997597
2024-12-22 06:00:01,GPU-CFCD2084,A100_PCIe,1,43.79401119917121,73.13482340200092,37.28857850887193,102,1214.7867,1592.9009,48.230953,53.207684,60.440178,176.61734,11.999491,3.300251,0.81563073,0.95707357,35.19159,680.9573,0,0,0,0,0.0,0,0,0,28.047909,0,16,4,18.768412,28.100563,56.179028,0,0,0,30.724207,0.9999984,1.0000001,1912,0,0,93.57644,0.12217377,0,0,2.0014231
2024-12-22 06:00:02,GPU-CFCD2084,A100_PCIe,2,43.884163480259225,73.08607906587638,37.37829478961096,102,1214.7714,1592.8851,48.325317,53.32931,60.548832,176.76631,11.998605,3.3009522,0.8161793,0.956417,35.100674,679.19806,0,0,0,0,0.0,0,0,0,28.098562,0,16,4,18.846245,28.31437,56.60586,0,0,0,30.81802,1.0000001,1.0000005,1916,0,0,93.44036,0.12176326,0,0,1.9997661
2024-12-22 06:00:03,GPU-CFCD2084,A100_PCIe,3,43.96467721744718,73.21254610075606,37.440845654884384,102,1215.6293,1593.0518,48.35588,53.34453,60.525585,177.0441,12.000305,3.3000643,0.8160562,0.95615077,35.062325,678.456,0,0,0,0,0.0,0,0,0,28.170658,0,16,4,18.823713,28.086588,56.062885,0,0,0,30.65252,0.99999946,1.0000004,1919,0,0,93.54455,0.12180771,0,0,1.9990356
2024-12-22 06:00:04,GPU-CFCD2084,A100_PCIe,4,44.040516339706436,73.21110995835573,37.28521093411693,102,1215.0339,1592.8658,48.409016,53.461575,60.633003,177.26779,12.000756,3.3000906,0.8165296,0.95613223,35.424706,685.468,0,0,0,0,0.0,0,0,0,28.223093,0,16,4,18.788801,28.105251,56.177303,0,0,0,30.911749,0.99999976,1.0,1921,0,0,93.58185,0.12211641,0,0,1.9998022
2024-12-22 06:00:05,GPU-CFCD2084,A100_PCIe,5,61.706942522179666,78.53588975106227,52.47208813377107,104,1273.6313,1592.971,57.656364,62.684875,70.74374,229.9389,12.002019,3.3005779,0.8427212,0.9384653,49.432217,956.51337,0,0,0,0,0.0,0,0,0,39.460094,0,16,4,22.310863,33.489307,66.89075,0,0,0,43.053925,0.9999991,1.0000001,2383,0,0,94.87293,0.1308969,0,0,1.9980164
2024-12-22 06:00:06,GPU-CFCD2084,A100_PCIe,6,44.15989345251805,73.22391919699099,37.52515594833486,102,1216.2711,1593.0771,48.47343,53.51385,60.68243,177.73015,11.999606,3.2999406,0.8165067,0.95573825,35.266506,682.40686,0,0,0,0,0.0,0,0,0,28.308582,0,16,4,18.795498,28.234608,56.754005,0,0,0,30.829689,0.9999984,0.99999994,1923,0,0,93.53697,0.12200514,0,0,1.9995458
2024-12-22 06:00:07,GPU-CFCD2084,A100_PCIe,7,61.82294516333049,78.5181488855909,52.42867186196845,104,1274.2727,1593.1414,57.719173,62.719894,70.76001,230.33264,12.00027,3.300099,0.8425236,0.93849295,49.333317,954.5997,0,0,0,0,0.0,0,0,0,39.559147,0,16,4,22.426882,33.54076,67.00114,0,0,0,43.17875,0.9999995,1.0000002,2384,0,0,94.96373,0.13065901,0,0,1.9989971
2024-12-22 06:00:08,GPU-CFCD2084,A100_PCIe,8,44.45202993397888,73.25342470346384,37.611664338168794,102,1216.3845,1592.9746,48.51272,53.537388,60.737797,178.17628,12.001115,3.2990315,0.8165852,0.95529026,35.686516,690.53406,0,0,0,0,0.0,0,0,0,28.399548,0,16,4,18.836008,28.206337,56.51653,0,0,0,31.275328,0.99999905,1.0,1924,0,0,93.515686,0.12242477,0,0,1.9988987
2024-12-22 06:00:09,GPU-CFCD2084,A100_PCIe,9,61.931684570832466,78.54857128257257,52.7114590608576,104,1274.8649,1592.935,57.836113,62.838863,70.941635,230.88002,12.001144,3.300695,0.84288037,0.93867576,49.51922,958.1969,0,0,0,0,0.0,0,0,0,39.641075,0,16,4,22.291334,33.439705,66.82289,0,0,0,43.45207,1.0000006,1.0000004,2392,0,0,94.97955,0.13066612,0,0,1.9984688
